Member State,Member State Code,Category,Year,Month,Thousand tonnes
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,May,3.32
Austria,AT,Total raw cow's milk delivered to dairies,2017,May,291.58
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,June,2.71
Austria,AT,Total raw cow's milk delivered to dairies,2017,June,267.80
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,July,2.67
Austria,AT,Total raw cow's milk delivered to dairies,2017,July,265.08
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,August,2.56
Austria,AT,Total raw cow's milk delivered to dairies,2017,August,257.14
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,September,2.62
Austria,AT,Total raw cow's milk delivered to dairies,2017,September,249.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,October,3.15
Austria,AT,Total raw cow's milk delivered to dairies,2017,October,261.81
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,November,3.25
Austria,AT,Total raw cow's milk delivered to dairies,2017,November,254.51
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2017,December,3.48
Austria,AT,Total raw cow's milk delivered to dairies,2017,December,275.13
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,January,3.20
Austria,AT,Total raw cow's milk delivered to dairies,2016,January,268.10
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,February,3.24
Austria,AT,Total raw cow's milk delivered to dairies,2016,February,260.40
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,March,3.30
Austria,AT,Total raw cow's milk delivered to dairies,2016,March,281.36
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,April,3.16
Austria,AT,Total raw cow's milk delivered to dairies,2016,April,278.83
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,May,3.11
Austria,AT,Total raw cow's milk delivered to dairies,2016,May,287.11
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,June,2.87
Austria,AT,Total raw cow's milk delivered to dairies,2016,June,258.58
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,July,2.52
Austria,AT,Total raw cow's milk delivered to dairies,2016,July,254.62
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,August,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2016,August,245.09
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,September,2.46
Austria,AT,Total raw cow's milk delivered to dairies,2016,September,233.23
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,October,2.63
Austria,AT,Total raw cow's milk delivered to dairies,2016,October,241.77
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,November,2.68
Austria,AT,Total raw cow's milk delivered to dairies,2016,November,230.98
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2016,December,2.91
Austria,AT,Total raw cow's milk delivered to dairies,2016,December,251.43
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,January,2.90
Austria,AT,Total raw cow's milk delivered to dairies,2015,January,254.56
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,February,2.57
Austria,AT,Total raw cow's milk delivered to dairies,2015,February,235.65
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,March,2.95
Austria,AT,Total raw cow's milk delivered to dairies,2015,March,268.49
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,April,3.17
Austria,AT,Total raw cow's milk delivered to dairies,2015,April,271.30
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,May,2.74
Austria,AT,Total raw cow's milk delivered to dairies,2015,May,287.25
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,June,2.76
Austria,AT,Total raw cow's milk delivered to dairies,2015,June,264.42
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,July,2.76
Austria,AT,Total raw cow's milk delivered to dairies,2015,July,261.82
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,August,2.49
Austria,AT,Total raw cow's milk delivered to dairies,2015,August,254.19
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,September,2.62
Austria,AT,Total raw cow's milk delivered to dairies,2015,September,243.16
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,October,2.93
Austria,AT,Total raw cow's milk delivered to dairies,2015,October,252.95
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,November,2.81
Austria,AT,Total raw cow's milk delivered to dairies,2015,November,244.38
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2015,December,2.96
Austria,AT,Total raw cow's milk delivered to dairies,2015,December,264.39
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,January,3.44
Austria,AT,Total raw cow's milk delivered to dairies,2014,January,261.26
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,February,3.00
Austria,AT,Total raw cow's milk delivered to dairies,2014,February,244.71
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,March,3.13
Austria,AT,Total raw cow's milk delivered to dairies,2014,March,277.96
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,April,3.03
Austria,AT,Total raw cow's milk delivered to dairies,2014,April,277.41
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,May,3.33
Austria,AT,Total raw cow's milk delivered to dairies,2014,May,285.39
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,June,2.56
Austria,AT,Total raw cow's milk delivered to dairies,2014,June,266.21
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,July,2.75
Austria,AT,Total raw cow's milk delivered to dairies,2014,July,258.55
Austria,AT,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",2014,August,2.35
