Year,Week,Member State,Product,Begin Date,End Date,Price (�/100kg)
2000,30,Germany,BUTTER,24/07/2000,30/07/2000,342.57
2000,30,Ireland,BUTTER,24/07/2000,30/07/2000,292.04
2000,30,Greece,BUTTER,24/07/2000,30/07/2000,449.38
2000,30,Spain,BUTTER,24/07/2000,30/07/2000,299.28
2000,30,France,BUTTER,24/07/2000,30/07/2000,320.14
2000,30,Netherlands,BUTTER,24/07/2000,30/07/2000,324.45
2000,30,Austria,BUTTER,24/07/2000,30/07/2000,335.75
2000,30,Sweden,BUTTER,24/07/2000,30/07/2000,326.94
2000,29,Belgium,BUTTER,17/07/2000,23/07/2000,319.78
2000,29,Denmark,BUTTER,17/07/2000,23/07/2000,376.84
2000,29,Germany,BUTTER,17/07/2000,23/07/2000,341.54
2000,29,Ireland,BUTTER,17/07/2000,23/07/2000,292.04
2000,29,Greece,BUTTER,17/07/2000,23/07/2000,449.96
2000,29,France,BUTTER,17/07/2000,23/07/2000,315.57
2000,29,Italy,BUTTER,17/07/2000,23/07/2000,255.28
2000,29,Netherlands,BUTTER,17/07/2000,23/07/2000,324.45
2000,29,Austria,BUTTER,17/07/2000,23/07/2000,333.57
2000,28,Belgium,BUTTER,10/07/2000,16/07/2000,320.4
2000,28,Denmark,BUTTER,10/07/2000,16/07/2000,376.56
2000,28,Germany,BUTTER,10/07/2000,16/07/2000,341.54
2000,28,Ireland,BUTTER,10/07/2000,16/07/2000,292.04
2000,28,Greece,BUTTER,10/07/2000,16/07/2000,449.9
2000,28,France,BUTTER,10/07/2000,16/07/2000,311.76
2000,28,Italy,BUTTER,10/07/2000,16/07/2000,255.28
2000,28,Netherlands,BUTTER,10/07/2000,16/07/2000,322.18
2000,28,Austria,BUTTER,10/07/2000,16/07/2000,327.39
2000,27,Belgium,BUTTER,03/07/2000,09/07/2000,316.19
2000,27,Denmark,BUTTER,03/07/2000,09/07/2000,376.56
2000,27,Ireland,BUTTER,03/07/2000,09/07/2000,292.04
2000,27,Greece,BUTTER,03/07/2000,09/07/2000,449.87
2000,27,Spain,BUTTER,03/07/2000,09/07/2000,297.2
2000,27,France,BUTTER,03/07/2000,09/07/2000,311
2000,27,Italy,BUTTER,03/07/2000,09/07/2000,255.28
2000,27,Netherlands,BUTTER,03/07/2000,09/07/2000,322.18
2000,27,Austria,BUTTER,03/07/2000,09/07/2000,324.48
2000,26,Belgium,BUTTER,26/06/2000,02/07/2000,314.95
2000,26,Denmark,BUTTER,26/06/2000,02/07/2000,376.76
2000,26,Germany,BUTTER,26/06/2000,02/07/2000,331.32
2000,26,Ireland,BUTTER,26/06/2000,02/07/2000,292.04
2000,26,Greece,BUTTER,26/06/2000,02/07/2000,450.01
2000,26,Spain,BUTTER,26/06/2000,02/07/2000,288.49
2000,26,France,BUTTER,26/06/2000,02/07/2000,304.9
2000,26,Italy,BUTTER,26/06/2000,02/07/2000,251.41
2000,26,Netherlands,BUTTER,26/06/2000,02/07/2000,317.65
2000,25,Belgium,BUTTER,19/06/2000,25/06/2000,313.83
2000,25,Denmark,BUTTER,19/06/2000,25/06/2000,376.79
2000,25,Germany,BUTTER,19/06/2000,25/06/2000,326.2
2000,25,Ireland,BUTTER,19/06/2000,25/06/2000,292.04
2000,25,Greece,BUTTER,19/06/2000,25/06/2000,450.45
2000,25,Spain,BUTTER,19/06/2000,25/06/2000,288.89
2000,25,France,BUTTER,19/06/2000,25/06/2000,304.14
2000,25,Italy,BUTTER,19/06/2000,25/06/2000,247.54
2000,25,Netherlands,BUTTER,19/06/2000,25/06/2000,317.65
2000,25,Austria,BUTTER,19/06/2000,25/06/2000,324.48
2000,24,Belgium,BUTTER,12/06/2000,18/06/2000,313.59
2000,24,Germany,BUTTER,12/06/2000,18/06/2000,326.2
2000,24,Ireland,BUTTER,12/06/2000,18/06/2000,292.04
2000,24,Greece,BUTTER,12/06/2000,18/06/2000,450.45
2000,24,Spain,BUTTER,12/06/2000,18/06/2000,288.49
2000,24,France,BUTTER,12/06/2000,18/06/2000,301.85
2000,24,Netherlands,BUTTER,12/06/2000,18/06/2000,310.84
2000,24,Austria,BUTTER,12/06/2000,18/06/2000,324.48
2000,23,Belgium,BUTTER,05/06/2000,11/06/2000,309.99
2000,23,Germany,BUTTER,05/06/2000,11/06/2000,322.11
2000,23,Ireland,BUTTER,05/06/2000,11/06/2000,292.04
2000,23,Greece,BUTTER,05/06/2000,11/06/2000,450.21
2000,23,Spain,BUTTER,05/06/2000,11/06/2000,288.49
2000,23,France,BUTTER,05/06/2000,11/06/2000,301.09
2000,23,Italy,BUTTER,05/06/2000,11/06/2000,246.25
2000,23,Netherlands,BUTTER,05/06/2000,11/06/2000,310.84
2000,23,Austria,BUTTER,05/06/2000,11/06/2000,324.48
2000,23,Sweden,BUTTER,05/06/2000,11/06/2000,329.45
2000,22,Belgium,BUTTER,29/05/2000,04/06/2000,313.59
2000,22,Germany,BUTTER,29/05/2000,04/06/2000,321.09
2000,22,Ireland,BUTTER,29/05/2000,04/06/2000,292.04
2000,22,Greece,BUTTER,29/05/2000,04/06/2000,449.8
2000,22,Spain,BUTTER,29/05/2000,04/06/2000,290.51
2000,22,France,BUTTER,29/05/2000,04/06/2000,298.8
2000,22,Netherlands,BUTTER,29/05/2000,04/06/2000,310.84
2000,22,Austria,BUTTER,29/05/2000,04/06/2000,324.48
2000,22,Sweden,BUTTER,29/05/2000,04/06/2000,328.35
2000,21,Belgium,BUTTER,22/05/2000,28/05/2000,307.64
2000,21,Germany,BUTTER,22/05/2000,28/05/2000,321.09
2000,21,Ireland,BUTTER,22/05/2000,28/05/2000,292.04
2000,21,Greece,BUTTER,22/05/2000,28/05/2000,449.89
2000,21,Spain,BUTTER,22/05/2000,28/05/2000,288.49
2000,21,France,BUTTER,22/05/2000,28/05/2000,297.73
2000,21,Italy,BUTTER,22/05/2000,28/05/2000,245.63
2000,21,Netherlands,BUTTER,22/05/2000,28/05/2000,306.3
2000,21,Austria,BUTTER,22/05/2000,28/05/2000,324.48
2000,20,Belgium,BUTTER,15/05/2000,21/05/2000,304.66
2000,20,Germany,BUTTER,15/05/2000,21/05/2000,321.09
2000,20,Ireland,BUTTER,15/05/2000,21/05/2000,292.04
2000,20,Greece,BUTTER,15/05/2000,21/05/2000,450.37
2000,20,Spain,BUTTER,15/05/2000,21/05/2000,291.3
2000,20,France,BUTTER,15/05/2000,21/05/2000,296.97
2000,20,Italy,BUTTER,15/05/2000,21/05/2000,245.63
2000,20,Netherlands,BUTTER,15/05/2000,21/05/2000,304.03
2000,20,Sweden,BUTTER,15/05/2000,21/05/2000,346.83
2000,19,Belgium,BUTTER,08/05/2000,14/05/2000,303.17
2000,19,Germany,BUTTER,08/05/2000,14/05/2000,321.09
2000,19,Ireland,BUTTER,08/05/2000,14/05/2000,292.04
2000,19,Spain,BUTTER,08/05/2000,14/05/2000,295.38
2000,19,France,BUTTER,08/05/2000,14/05/2000,295.14
2000,19,Netherlands,BUTTER,08/05/2000,14/05/2000,304.03
2000,19,Austria,BUTTER,08/05/2000,14/05/2000,324.48
2000,19,Sweden,BUTTER,08/05/2000,14/05/2000,406.39
2000,18,Belgium,BUTTER,01/05/2000,07/05/2000,302.06
2000,18,Germany,BUTTER,01/05/2000,07/05/2000,321.09
2000,18,Ireland,BUTTER,01/05/2000,07/05/2000,292.04
2000,18,Greece,BUTTER,01/05/2000,07/05/2000,450.65
2000,18,Spain,BUTTER,01/05/2000,07/05/2000,290.15
2000,18,France,BUTTER,01/05/2000,07/05/2000,294.23
2000,18,Italy,BUTTER,01/05/2000,07/05/2000,245.63
2000,18,Netherlands,BUTTER,01/05/2000,07/05/2000,304.03
2000,18,Austria,BUTTER,01/05/2000,07/05/2000,324.48
2000,17,Belgium,BUTTER,24/04/2000,30/04/2000,298.71
2000,17,Germany,BUTTER,24/04/2000,30/04/2000,321.09
2000,17,Ireland,BUTTER,24/04/2000,30/04/2000,292.04
2000,17,Greece,BUTTER,24/04/2000,30/04/2000,451.37
2000,17,Spain,BUTTER,24/04/2000,30/04/2000,289.04
2000,17,France,BUTTER,24/04/2000,30/04/2000,293.77
2000,17,Italy,BUTTER,24/04/2000,30/04/2000,245.63
2000,17,Netherlands,BUTTER,24/04/2000,30/04/2000,301.76
