STATISTIC Label,Month,Product,UNIT,VALUE
Production of Dairy Products,1983 August,Butter,000 Tonnes,17.8
Production of Dairy Products,1983 August,Skimmed Milk Powder,000 Tonnes,16.8
Production of Dairy Products,1983 September,Cheese,000 Tonnes,6.3
Production of Dairy Products,1983 September,Butter,000 Tonnes,14.9
Production of Dairy Products,1983 September,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1983 October,Cheese,000 Tonnes,2.2
Production of Dairy Products,1983 October,Butter,000 Tonnes,11.5
Production of Dairy Products,1983 October,Skimmed Milk Powder,000 Tonnes,7.1
Production of Dairy Products,1983 November,Cheese,000 Tonnes,0.4
Production of Dairy Products,1983 November,Butter,000 Tonnes,6
Production of Dairy Products,1983 November,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1983 December,Cheese,000 Tonnes,0
Production of Dairy Products,1983 December,Butter,000 Tonnes,3.1
Production of Dairy Products,1983 December,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1984 January,Cheese,000 Tonnes,0.2
Production of Dairy Products,1984 January,Butter,000 Tonnes,3.9
Production of Dairy Products,1984 January,Skimmed Milk Powder,000 Tonnes,3.9
Production of Dairy Products,1984 February,Cheese,000 Tonnes,1
Production of Dairy Products,1984 February,Butter,000 Tonnes,7.9
Production of Dairy Products,1984 February,Skimmed Milk Powder,000 Tonnes,8.2
Production of Dairy Products,1984 March,Cheese,000 Tonnes,3.1
Production of Dairy Products,1984 March,Butter,000 Tonnes,13.4
Production of Dairy Products,1984 March,Skimmed Milk Powder,000 Tonnes,15.8
Production of Dairy Products,1984 April,Cheese,000 Tonnes,6.4
Production of Dairy Products,1984 April,Butter,000 Tonnes,18.5
Production of Dairy Products,1984 April,Skimmed Milk Powder,000 Tonnes,24.3
Production of Dairy Products,1984 May,Cheese,000 Tonnes,9.8
Production of Dairy Products,1984 May,Butter,000 Tonnes,25.1
Production of Dairy Products,1984 May,Skimmed Milk Powder,000 Tonnes,34.6
Production of Dairy Products,1984 June,Cheese,000 Tonnes,8.6
Production of Dairy Products,1984 June,Butter,000 Tonnes,23.6
Production of Dairy Products,1984 June,Skimmed Milk Powder,000 Tonnes,32.1
Production of Dairy Products,1984 July,Cheese,000 Tonnes,7.5
Production of Dairy Products,1984 July,Butter,000 Tonnes,21.1
Production of Dairy Products,1984 July,Skimmed Milk Powder,000 Tonnes,26.9
Production of Dairy Products,1984 August,Cheese,000 Tonnes,6.9
Production of Dairy Products,1984 August,Butter,000 Tonnes,19
Production of Dairy Products,1984 August,Skimmed Milk Powder,000 Tonnes,18.2
Production of Dairy Products,1984 September,Cheese,000 Tonnes,5.8
Production of Dairy Products,1984 September,Butter,000 Tonnes,13.1
Production of Dairy Products,1984 September,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1984 October,Cheese,000 Tonnes,4.4
Production of Dairy Products,1984 October,Butter,000 Tonnes,10.9
Production of Dairy Products,1984 October,Skimmed Milk Powder,000 Tonnes,4.8
Production of Dairy Products,1984 November,Cheese,000 Tonnes,0.7
Production of Dairy Products,1984 November,Butter,000 Tonnes,5.7
Production of Dairy Products,1984 November,Skimmed Milk Powder,000 Tonnes,2.8
Production of Dairy Products,1984 December,Cheese,000 Tonnes,0
Production of Dairy Products,1984 December,Butter,000 Tonnes,2.7
Production of Dairy Products,1984 December,Skimmed Milk Powder,000 Tonnes,2.9
Production of Dairy Products,1985 January,Cheese,000 Tonnes,0.6
Production of Dairy Products,1985 January,Butter,000 Tonnes,4.6
Production of Dairy Products,1985 January,Skimmed Milk Powder,000 Tonnes,5.6
Production of Dairy Products,1985 February,Cheese,000 Tonnes,1.6
Production of Dairy Products,1985 February,Butter,000 Tonnes,8
Production of Dairy Products,1985 February,Skimmed Milk Powder,000 Tonnes,8.6
Production of Dairy Products,1985 March,Cheese,000 Tonnes,6.3
Production of Dairy Products,1985 March,Butter,000 Tonnes,12.6
Production of Dairy Products,1985 March,Skimmed Milk Powder,000 Tonnes,12.3
Production of Dairy Products,1985 April,Cheese,000 Tonnes,10.8
Production of Dairy Products,1985 April,Butter,000 Tonnes,19.2
Production of Dairy Products,1985 April,Skimmed Milk Powder,000 Tonnes,19.2
Production of Dairy Products,1985 May,Cheese,000 Tonnes,12.9
Production of Dairy Products,1985 May,Butter,000 Tonnes,25.6
Production of Dairy Products,1985 May,Skimmed Milk Powder,000 Tonnes,31.8
Production of Dairy Products,1985 June,Cheese,000 Tonnes,11.6
Production of Dairy Products,1985 June,Butter,000 Tonnes,22
Production of Dairy Products,1985 June,Skimmed Milk Powder,000 Tonnes,25.8
Production of Dairy Products,1985 July,Cheese,000 Tonnes,11.9
Production of Dairy Products,1985 July,Butter,000 Tonnes,21.9
Production of Dairy Products,1985 July,Skimmed Milk Powder,000 Tonnes,23.1
Production of Dairy Products,1985 August,Cheese,000 Tonnes,9.8
Production of Dairy Products,1985 August,Butter,000 Tonnes,17.1
Production of Dairy Products,1985 August,Skimmed Milk Powder,000 Tonnes,15.7
Production of Dairy Products,1985 September,Cheese,000 Tonnes,8.4
Production of Dairy Products,1985 September,Butter,000 Tonnes,12.1
Production of Dairy Products,1985 September,Skimmed Milk Powder,000 Tonnes,9.7
Production of Dairy Products,1985 October,Cheese,000 Tonnes,3.6
Production of Dairy Products,1985 October,Butter,000 Tonnes,10.1
Production of Dairy Products,1985 October,Skimmed Milk Powder,000 Tonnes,5.1
Production of Dairy Products,1985 November,Cheese,000 Tonnes,0.6
Production of Dairy Products,1985 November,Butter,000 Tonnes,4.8
Production of Dairy Products,1985 November,Skimmed Milk Powder,000 Tonnes,2.4
Production of Dairy Products,1985 December,Cheese,000 Tonnes,0.3
Production of Dairy Products,1985 December,Butter,000 Tonnes,2.4
Production of Dairy Products,1985 December,Skimmed Milk Powder,000 Tonnes,1.7
Production of Dairy Products,1986 January,Cheese,000 Tonnes,0.2
Production of Dairy Products,1986 January,Butter,000 Tonnes,3.3
Production of Dairy Products,1986 January,Skimmed Milk Powder,000 Tonnes,3.3
Production of Dairy Products,1986 February,Cheese,000 Tonnes,0.8
Production of Dairy Products,1986 February,Butter,000 Tonnes,6.7
Production of Dairy Products,1986 February,Skimmed Milk Powder,000 Tonnes,7.8
Production of Dairy Products,1986 March,Cheese,000 Tonnes,4.5
Production of Dairy Products,1986 March,Butter,000 Tonnes,11.6
Production of Dairy Products,1986 March,Skimmed Milk Powder,000 Tonnes,10.3
Production of Dairy Products,1986 April,Cheese,000 Tonnes,9.2
Production of Dairy Products,1986 April,Butter,000 Tonnes,16
Production of Dairy Products,1986 April,Skimmed Milk Powder,000 Tonnes,15.9
Production of Dairy Products,1986 May,Cheese,000 Tonnes,11.2
Production of Dairy Products,1986 May,Butter,000 Tonnes,22.3
Production of Dairy Products,1986 May,Skimmed Milk Powder,000 Tonnes,27.8
Production of Dairy Products,1986 June,Cheese,000 Tonnes,10.2
Production of Dairy Products,1986 June,Butter,000 Tonnes,22.6
Production of Dairy Products,1986 June,Skimmed Milk Powder,000 Tonnes,28.1
Production of Dairy Products,1986 July,Cheese,000 Tonnes,8.2
Production of Dairy Products,1986 July,Butter,000 Tonnes,21
Production of Dairy Products,1986 July,Skimmed Milk Powder,000 Tonnes,23.5
Production of Dairy Products,1986 August,Cheese,000 Tonnes,7.5
Production of Dairy Products,1986 August,Butter,000 Tonnes,16.4
Production of Dairy Products,1986 August,Skimmed Milk Powder,000 Tonnes,15.4
Production of Dairy Products,1986 September,Cheese,000 Tonnes,7.6
Production of Dairy Products,1986 September,Butter,000 Tonnes,13.4
Production of Dairy Products,1986 September,Skimmed Milk Powder,000 Tonnes,10.8
Production of Dairy Products,1986 October,Cheese,000 Tonnes,3.5
Production of Dairy Products,1986 October,Butter,000 Tonnes,11.4
Production of Dairy Products,1986 October,Skimmed Milk Powder,000 Tonnes,6.4
Production of Dairy Products,1986 November,Cheese,000 Tonnes,0.4
Production of Dairy Products,1986 November,Butter,000 Tonnes,5.8
Production of Dairy Products,1986 November,Skimmed Milk Powder,000 Tonnes,3.3
Production of Dairy Products,1986 December,Cheese,000 Tonnes,0
Production of Dairy Products,1986 December,Butter,000 Tonnes,2.9
Production of Dairy Products,1986 December,Skimmed Milk Powder,000 Tonnes,3
Production of Dairy Products,1987 January,Cheese,000 Tonnes,0.1
Production of Dairy Products,1987 January,Butter,000 Tonnes,3.2
Production of Dairy Products,1987 January,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,1987 February,Cheese,000 Tonnes,0.8
Production of Dairy Products,1987 February,Butter,000 Tonnes,5.4
Production of Dairy Products,1987 February,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,1987 March,Cheese,000 Tonnes,3.6
Production of Dairy Products,1987 March,Butter,000 Tonnes,10.2
Production of Dairy Products,1987 March,Skimmed Milk Powder,000 Tonnes,9.1
Production of Dairy Products,1987 April,Cheese,000 Tonnes,8.2
Production of Dairy Products,1987 April,Butter,000 Tonnes,14.7
Production of Dairy Products,1987 April,Skimmed Milk Powder,000 Tonnes,16
Production of Dairy Products,1987 May,Cheese,000 Tonnes,10.6
Production of Dairy Products,1987 May,Butter,000 Tonnes,18
Production of Dairy Products,1987 May,Skimmed Milk Powder,000 Tonnes,26.6
