Statistic Label,Year,Domestic or Import Source,UNIT,VALUE
Protein Content,2008,Import,%,
Protein Content,2009,Domestic,%,3.33
Protein Content,2009,Import,%,
Protein Content,2010,Domestic,%,3.37
Protein Content,2010,Import,%,
Protein Content,2011,Domestic,%,3.37
Protein Content,2011,Import,%,
Protein Content,2012,Domestic,%,3.36
Protein Content,2012,Import,%,
Protein Content,2013,Domestic,%,3.39
Protein Content,2013,Import,%,
Protein Content,2014,Domestic,%,3.43
Protein Content,2014,Import,%,
Protein Content,2015,Domestic,%,3.5
Protein Content,2015,Import,%,
Protein Content,2016,Domestic,%,3.45
Protein Content,2016,Import,%,
Protein Content,2017,Domestic,%,3.48
Protein Content,2017,Import,%,
Protein Content,2018,Domestic,%,3.48
Protein Content,2018,Import,%,
Protein Content,2019,Domestic,%,3.54
Protein Content,2019,Import,%,
Protein Content,2020,Domestic,%,3.55
Protein Content,2020,Import,%,
Protein Content,2021,Domestic,%,3.55
Protein Content,2021,Import,%,
