STATISTIC,Statistic Label,TLIST(A1),Year,C02064V02491,Product Type,UNIT,VALUE
ABA02C02,Dairy Imports,1998,1998,11,Drinking Milk & Buttermilk,Tonnes,2
ABA02C02,Dairy Imports,1999,1999,3,Cheese,Tonnes,18
ABA02C02,Dairy Imports,1999,1999,4,Butter,Tonnes,5
ABA02C02,Dairy Imports,1999,1999,5,Cream,Tonnes,9
ABA02C02,Dairy Imports,1999,1999,6,Milk Powder,Tonnes,8
ABA02C02,Dairy Imports,1999,1999,11,Drinking Milk & Buttermilk,Tonnes,21
ABA02C02,Dairy Imports,2000,2000,3,Cheese,Tonnes,19
ABA02C02,Dairy Imports,2000,2000,4,Butter,Tonnes,4
ABA02C02,Dairy Imports,2000,2000,5,Cream,Tonnes,12
ABA02C02,Dairy Imports,2000,2000,6,Milk Powder,Tonnes,7
ABA02C02,Dairy Imports,2000,2000,11,Drinking Milk & Buttermilk,Tonnes,24
ABA02C02,Dairy Imports,2001,2001,3,Cheese,Tonnes,20
ABA02C02,Dairy Imports,2001,2001,4,Butter,Tonnes,5
ABA02C02,Dairy Imports,2001,2001,5,Cream,Tonnes,8
ABA02C02,Dairy Imports,2001,2001,6,Milk Powder,Tonnes,6
ABA02C02,Dairy Imports,2001,2001,11,Drinking Milk & Buttermilk,Tonnes,25
ABA02C02,Dairy Imports,2002,2002,3,Cheese,Tonnes,20
ABA02C02,Dairy Imports,2002,2002,4,Butter,Tonnes,4
ABA02C02,Dairy Imports,2002,2002,5,Cream,Tonnes,3
ABA02C02,Dairy Imports,2002,2002,6,Milk Powder,Tonnes,5
ABA02C02,Dairy Imports,2002,2002,11,Drinking Milk & Buttermilk,Tonnes,27
ABA02C02,Dairy Imports,2003,2003,3,Cheese,Tonnes,27
ABA02C02,Dairy Imports,2003,2003,4,Butter,Tonnes,5
ABA02C02,Dairy Imports,2003,2003,5,Cream,Tonnes,2
ABA02C02,Dairy Imports,2003,2003,6,Milk Powder,Tonnes,8
ABA02C02,Dairy Imports,2003,2003,11,Drinking Milk & Buttermilk,Tonnes,42
ABA02C02,Dairy Imports,2004,2004,3,Cheese,Tonnes,24
ABA02C02,Dairy Imports,2004,2004,4,Butter,Tonnes,4
ABA02C02,Dairy Imports,2004,2004,5,Cream,Tonnes,6
ABA02C02,Dairy Imports,2004,2004,6,Milk Powder,Tonnes,10
ABA02C02,Dairy Imports,2004,2004,11,Drinking Milk & Buttermilk,Tonnes,39
ABA02C02,Dairy Imports,2005,2005,3,Cheese,Tonnes,29
ABA02C02,Dairy Imports,2005,2005,4,Butter,Tonnes,4
ABA02C02,Dairy Imports,2005,2005,5,Cream,Tonnes,4
ABA02C02,Dairy Imports,2005,2005,6,Milk Powder,Tonnes,34
ABA02C02,Dairy Imports,2005,2005,11,Drinking Milk & Buttermilk,Tonnes,41
ABA02C02,Dairy Imports,2006,2006,3,Cheese,Tonnes,24
ABA02C02,Dairy Imports,2006,2006,4,Butter,Tonnes,8
ABA02C02,Dairy Imports,2006,2006,5,Cream,Tonnes,11
ABA02C02,Dairy Imports,2006,2006,6,Milk Powder,Tonnes,24
ABA02C02,Dairy Imports,2006,2006,11,Drinking Milk & Buttermilk,Tonnes,47
ABA02C02,Dairy Imports,2007,2007,3,Cheese,Tonnes,36
ABA02C02,Dairy Imports,2007,2007,4,Butter,Tonnes,6
ABA02C02,Dairy Imports,2007,2007,5,Cream,Tonnes,7
ABA02C02,Dairy Imports,2007,2007,6,Milk Powder,Tonnes,15
ABA02C02,Dairy Imports,2007,2007,11,Drinking Milk & Buttermilk,Tonnes,51
ABA02C02,Dairy Imports,2008,2008,3,Cheese,Tonnes,34
ABA02C02,Dairy Imports,2008,2008,4,Butter,Tonnes,6
ABA02C02,Dairy Imports,2008,2008,5,Cream,Tonnes,6
ABA02C02,Dairy Imports,2008,2008,6,Milk Powder,Tonnes,12
ABA02C02,Dairy Imports,2008,2008,11,Drinking Milk & Buttermilk,Tonnes,61
ABA02C02,Dairy Imports,2009,2009,3,Cheese,Tonnes,33
ABA02C02,Dairy Imports,2009,2009,4,Butter,Tonnes,8
ABA02C02,Dairy Imports,2009,2009,5,Cream,Tonnes,6
ABA02C02,Dairy Imports,2009,2009,6,Milk Powder,Tonnes,7
ABA02C02,Dairy Imports,2009,2009,11,Drinking Milk & Buttermilk,Tonnes,80
ABA02C02,Dairy Imports,2010,2010,3,Cheese,Tonnes,43
ABA02C02,Dairy Imports,2010,2010,4,Butter,Tonnes,8
ABA02C02,Dairy Imports,2010,2010,5,Cream,Tonnes,6
ABA02C02,Dairy Imports,2010,2010,6,Milk Powder,Tonnes,9
ABA02C02,Dairy Imports,2010,2010,11,Drinking Milk & Buttermilk,Tonnes,86
ABA02C02,Dairy Imports,2011,2011,3,Cheese,Tonnes,41
ABA02C02,Dairy Imports,2011,2011,4,Butter,Tonnes,7
ABA02C02,Dairy Imports,2011,2011,5,Cream,Tonnes,7
ABA02C02,Dairy Imports,2011,2011,6,Milk Powder,Tonnes,10
