STATISTIC,STATISTIC Label,TLIST(A1),Year,C02069V02500,Type of Fertiliser,UNIT,VALUE
AJA05,Fertiliser Price,1986,1986,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1986,1986,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124
AJA05,Fertiliser Price,1987,1987,2,Urea (46% N),Euro per Tonne,140
AJA05,Fertiliser Price,1987,1987,4,Granular Superphosphate (16% P),Euro per Tonne,219
AJA05,Fertiliser Price,1987,1987,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,7,Compound 0-10-20,Euro per Tonne,149
AJA05,Fertiliser Price,1987,1987,8,Compound 0-7-30,Euro per Tonne,146
AJA05,Fertiliser Price,1987,1987,9,Compound 7-6-17,Euro per Tonne,208
AJA05,Fertiliser Price,1987,1987,10,Compound 10-10-20,Euro per Tonne,181
AJA05,Fertiliser Price,1987,1987,11,Compound 14-7-14,Euro per Tonne,168
AJA05,Fertiliser Price,1987,1987,12,Compound 18-6-12,Euro per Tonne,167
AJA05,Fertiliser Price,1987,1987,13,Compound 24-2.5-10,Euro per Tonne,167
AJA05,Fertiliser Price,1987,1987,14,Compound 27-2.5-5,Euro per Tonne,164
AJA05,Fertiliser Price,1987,1987,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1987,1987,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,137
AJA05,Fertiliser Price,1988,1988,2,Urea (46% N),Euro per Tonne,165
AJA05,Fertiliser Price,1988,1988,4,Granular Superphosphate (16% P),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,7,Compound 0-10-20,Euro per Tonne,163
AJA05,Fertiliser Price,1988,1988,8,Compound 0-7-30,Euro per Tonne,159
AJA05,Fertiliser Price,1988,1988,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,10,Compound 10-10-20,Euro per Tonne,195
AJA05,Fertiliser Price,1988,1988,11,Compound 14-7-14,Euro per Tonne,187
AJA05,Fertiliser Price,1988,1988,12,Compound 18-6-12,Euro per Tonne,181
AJA05,Fertiliser Price,1988,1988,13,Compound 24-2.5-10,Euro per Tonne,175
AJA05,Fertiliser Price,1988,1988,14,Compound 27-2.5-5,Euro per Tonne,172
AJA05,Fertiliser Price,1988,1988,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1988,1988,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,145
AJA05,Fertiliser Price,1989,1989,2,Urea (46% N),Euro per Tonne,189
AJA05,Fertiliser Price,1989,1989,4,Granular Superphosphate (16% P),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,6,Muriate of Potash (50% K),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,7,Compound 0-10-20,Euro per Tonne,177
AJA05,Fertiliser Price,1989,1989,8,Compound 0-7-30,Euro per Tonne,174
AJA05,Fertiliser Price,1989,1989,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,10,Compound 10-10-20,Euro per Tonne,209
AJA05,Fertiliser Price,1989,1989,11,Compound 14-7-14,Euro per Tonne,199
AJA05,Fertiliser Price,1989,1989,12,Compound 18-6-12,Euro per Tonne,196
AJA05,Fertiliser Price,1989,1989,13,Compound 24-2.5-10,Euro per Tonne,191
AJA05,Fertiliser Price,1989,1989,14,Compound 27-2.5-5,Euro per Tonne,187
AJA05,Fertiliser Price,1989,1989,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,22,Compound 15-3-20,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,23,Compound 24-2.2-10,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,24,Compound 24-2.2-4.5,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,26,Compound 19-0-15,Euro per Tonne,
AJA05,Fertiliser Price,1989,1989,27,Compound 25-4-0,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,1,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,143
AJA05,Fertiliser Price,1990,1990,2,Urea (46% N),Euro per Tonne,178
AJA05,Fertiliser Price,1990,1990,4,Granular Superphosphate (16% P),Euro per Tonne,246
AJA05,Fertiliser Price,1990,1990,6,Muriate of Potash (50% K),Euro per Tonne,193
AJA05,Fertiliser Price,1990,1990,7,Compound 0-10-20,Euro per Tonne,174
AJA05,Fertiliser Price,1990,1990,8,Compound 0-7-30,Euro per Tonne,172
AJA05,Fertiliser Price,1990,1990,9,Compound 7-6-17,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,10,Compound 10-10-20,Euro per Tonne,210
AJA05,Fertiliser Price,1990,1990,11,Compound 14-7-14,Euro per Tonne,199
AJA05,Fertiliser Price,1990,1990,12,Compound 18-6-12,Euro per Tonne,196
AJA05,Fertiliser Price,1990,1990,13,Compound 24-2.5-10,Euro per Tonne,191
AJA05,Fertiliser Price,1990,1990,14,Compound 27-2.5-5,Euro per Tonne,186
AJA05,Fertiliser Price,1990,1990,15,Sulphate of Potash (42% K),Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,16,Compound 8-5-18,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,17,Compound 20-4-10,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,18,Sulphate of Ammonia (21%),Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,19,Ammonium Sulphate Nitrate (26%),Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,20,Compound 10-5-25,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,21,Compound 13-6-20,Euro per Tonne,
AJA05,Fertiliser Price,1990,1990,22,Compound 15-3-20,Euro per Tonne,
